Rank,Name,Height (meters / feet),Main Span Length (meters / feet),Completed,Location,Country
1,"Beipanjiang Bridge Duge
杭瑞高速北盘江大桥
World's Highest Bridge","1,854 feet
565 meters","2,362 feet
720 meters",2016,"Dugexiang, Guizhou",China
2,"Siduhe Bridge
四渡河特大桥","1,627 feet
496 meters","2,952 feet
900 meters",2009,"Yesanguanzhen, Hubei",China
3,"Puli Bridge
普立特大桥","1,591 feet
485 meters","2,060 feet
628 meters",2015,"Pulixiang, Yunnan",China
4,"Jinshajiang Bridge Jin'an
金安金沙江特大桥","1,512 feet
461 meters","4,547 feet
1,386 meters",2020,"Jin'an, Yunnan",China
5,"Yachi Bridge
贵黔高速鸭池河大桥","1,424 feet
434 meters","2,625 feet
800 meters",2016,"Daguanzhen, Guizhou",China
6,"Qingshuihe Bridge
清水河特大桥","1,332 feet
406 meters","3,707 feet
1,130 meters",2015,"Weng'an, Guizhou",China
7,Hegigio Gorge Pipeline Bridge,"1,289 feet
393 meters","1,542 feet
470 meters",2005,"Otoma, Southern Highlands",Papua New Guinea
8,"Baluarte Bridge
Puente Baluarte","1,280 feet
390 meters","1,706 feet
520 meters",2013,"El Palmito, Sinaloa",Mexico
9,"Liuguanghe Bridge Xiqian
息黔高速公路六广河特大桥","1,230 feet
375 meters","1,903 feet
580 meters",2017,"Liutongxiang, Guizhou",China
10,"Balinghe Bridge
坝陵河特大桥","1,214 feet
370 meters","3,570 feet
1,088 meters",2009,"Guanling, Guizhou",China
11,"Beipanjiang Bridge Guanxing
关兴公路北盘江大桥","1,200 feet
366 meters","1,273 feet
388 meters",2003,"Xingbeizhen, Guizhou",China
11.5,"Malinghe Bridge Fenglin
峰林特大桥","1,184 feet
361 meters","1,804 feet
550 meters",2021,"Xingyi, Guizhou",China
11.6,"Yangbaoshan Bridge
阳宝山特大桥","1,181 feet
360 meters","2,133 feet
650 meters",2021,"Xinbazhen, Guizhou",China
12,"Dimuhe Bridge
抵母河特大桥","1,181 feet
360 meters","1,765 feet
538 meters",2016,"Liupanshui, Guizhou",China
12A,"Skywalk, Glasswalk, Cliffwalk Viewing Platforms","1,165 feet
355 meters","6 feet
2 meters",2000,"China, Europe, USA"
12.5,"Jiangdihe Bridge
江底河特大桥","1,155 feet
352 meters","3,018 feet
920 meters",2023,"Yongren, Yunnan",China
13,"Liuchonghe Bridge
六冲河特大桥","1,115 feet
340 meters","1,437 feet
438 meters",2013,"Zhilin, Guizhou",China
14,"Aizhai Bridge
矮寨特大桥","1,102 feet
336 meters","3,858 feet
1,176 meters",2012,"Jishou, Hunan",China
15,"Lishuihe Bridge
澧水大桥","1,083 feet
330 meters","2,808 feet
856 meters",2013,"Zhangjiajie, Hunan",China
16,"Malinghe Bridge Zhaozhuang
赵庄马岭河大桥","1,079 feet
329 meters","1,345 feet
410 meters",2024,"Xingyi, Guizhou",China
17,Chenab River Railway Bridge,"1,053 feet
321 meters","1,509 feet
460 meters",2022,"Katra, Jammu-Kashmir",India
17A,List of 100 Highest Railway Bridges,"1,053 feet
321 meters","1,509 feet
460 meters",2022,China
17.5,"Lvzhijiang Bridge
绿汁江大桥","1,050 feet
320 meters","2,559 feet
780 meters",2022,"Lvzhizhen, Yunnan",China
18,"Beipanjiang Bridge Hukun
沪昆高速北盘江大桥","1,043 feet
318 meters","2,087 feet
636 meters",2009,"Qinglong, Guizhou",China
19,"Chishuihe Bridge Hongjun
赤水河红军大桥","1,033 feet
315 meters","3,937 feet
1,200 meters",2019,"Xijiuzhen, Guizhou",China
20,"Najiehe Railway Bridge
纳界河特大桥","1,017 feet
310 meters","1,155 feet
352 meters",2016,"Liuchangxiang, Guizhou",China
21,"Pingtang Bridge
平塘特大桥","1,001 feet
305 meters","1,804 feet
550 meters",2019,"Pingtang, Guizhou",China
22,"Kaizhouhu Bridge
开州湖特大桥","1,001 feet
305 meters","3,609 feet
1,100 meters",2021,"Mipingxiang, Guizhou",China
22.5,"Xiangjiang Bridge
湘江特大桥","997 feet
304 meters","1,837 feet
560 meters",2021,"Xipingzhen, Guizhou",China
23,"Liuguanghe Bridge
六广河大桥","975 feet
297 meters","787 feet
240 meters",2001,"Liu Guangzhen, Guizhou",China
23.5,"Wujiang Bridge Zunyu
遵余高速乌江特大桥","974 feet
297 meters","2,231 feet
680 meters",2021,"Shilianxiang, Guizhou",China
24,"Wujiang Bridge Meishi
湄石高速乌江特大桥","974 feet
297 meters","2,231 feet
680 meters",2021,"Benzhuangzhen, Guizhou",China
25,"Beipanjiang Railway Bridge Qinglong
沪昆高铁晴隆北盘江大桥","968 feet
295 meters","1,460 feet
445 meters",2016,"Qinglong, Guizhou",China
26,"Zhijinghe Bridge
支井河大桥","965 feet
294 meters","1,411 feet
430 meters",2009,"Dazhipingzhen, Hubei",China
27A,Temporary Construction Footbridges,"951 feet
290 meters","1,673 feet
510 meters",2000,"China, Europe, USA"
27.5,"Tian'e Longtan Bridge
天峨龙滩特大桥","(951) feet
290 meters","1,969 feet
600 meters",2023,"Tian'e, Guangxi",China
28,"Duohua Bridge
朵花特大桥","945 feet
288 meters","1,608 feet
490 meters",2021,"Longli, Guizhou",China
29,"Xixihe Bridge Qianda
黔大高速西溪河大桥","945 feet
288 meters","623 feet
190 meters",2015,"Honglinxiang, Guizhou",China
30,"Daduhe Bridge Xingkang
大渡河兴康特大桥","935 feet
285 meters","3,609 feet
1,100 meters",2018,"Luding, Sichuan",China
32,"Longjiang Bridge
龙江大桥","919 feet
280 meters","3,924 feet
1,196 meters",2016,"Wuhexiang, Yunnan",China
32.5,"Tuanjie Bridge
团结特大桥","919 feet
280 meters","1,345 feet
410 meters",2022,"Xiaoshanbao, Guizhou",China
33,"Sunxihe Bridge
笋溪河特大桥","919 feet
280 meters","2,165 feet
660 meters",2018,"Bailinzhen, Chongqing",China
34,"Millau Viaduct
Viaduc Millau
World's Tallest Bridge","909 feet
277 meters","1,122 feet
342 meters",2004,"Millau, Midi-Pyrénées",France
35,"Beipanjiang Railway Bridge Shuibai
水柏铁路北盘江大桥","902 feet
275 meters","771 feet
235 meters",2001,"Fa’er Bouyei, Guizhou",China
35.5,"Yachi Railway Bridge
成贵高铁鸭池河大桥","892 feet
272 meters","1,430 feet
436 meters",2019,"Daguanzhen, Guizhou",China
35.6,"Lancangjiang Railway Bridge Darui
大瑞铁路澜沧江大桥","890 feet
271 meters","1,122 feet
342 meters",2022,"Shanyangxiang, Yunnan",China
36,"Mike O'Callaghan-Pat Tilman Memorial Bridge
Colorado River Bridge
Hoover Dam Bypass Bridge","890 feet
271 meters","1,060 feet
323 meters",2010,"Boulder City, Nevada",United States
37,"Lianghekou Dam Bridge
两河口跨库大桥","886 feet
270 meters","722 feet
220 meters",2019,"Yajiang, Sichuan",China
37.5,"Dongxihe Bridge
东溪河特大桥","(886) feet
270 meters","1,083 feet
330 meters",2024,"Xujiazhen, Chongqing",China
38,New River Gorge Bridge,"876 feet
267 meters","1,700 feet
518 meters",1977,"Fayetteville, West Virginia",United States
38.5,"Loushuihe Bridge
溇水河特大桥","(869) feet
265 meters","1,198 feet
365 meters",2024,"Hefeng, Hubei",China
39,"Zongxihe Bridge
总溪河特大桥","866 feet
264 meters","1,181 feet
360 meters",2015,"Weixinzhen, Guizhou",China
40,"Wulingshan Bridge
武陵山大桥","863 feet
263 meters","1,181 feet
360 meters",2009,"Pengshui, Chongqing",China
41,"Nanpanjiang Railway Bridge Qiubei
云桂铁路丘北南盘江大桥","860 feet
262 meters","1,365 feet
416 meters",2016,"Qiubei, Yunnan",China
42,"Zhangjiajie Grand Canyon Glass Footbridge
张家界大峡谷玻璃桥
World's Highest Footbridge","853 feet
260 meters","1,411 feet
430 meters",2016,"Sanguansixiang, Hunan",China
42A,"World's Highest Footbridges
大桥","853 feet
260 meters","1,460 feet
445 meters",2016,"China, Switzerland, Nepal"
43,"Jinshajiang Bridge Hutiaoxia
香丽高速虎跳峡金沙江大桥","853 feet
260 meters","2,513 feet
766 meters",2020,"Hutiaoxiazhen, Yunnan",China
44,"Gongshuihe Bridge
贡水河大桥","853 feet
260 meters","1,312 feet
400 meters",2015,"Xuan'en, Hubei",China
45,"Wujiang Bridge Yuqing
余庆乌江大桥","853 feet
260 meters","1,181 feet
360 meters",2016,"Goupitanzhen, Guizhou",China
46,"Italia Viaduct
Viadotto Italia","850 feet
259 meters","574 feet
175 meters",1974,"Laino Borgo, Calabria",Italy
47,"Dahe Bridge
六盘水大河特大桥","846 feet
258 meters","4,101 feet
1,250 meters",2024,"Liupanshui, Guizhou",China
48,"Jiangjiehe Bridge
江界河大桥","840 feet
256 meters","1,083 feet
330 meters",1995,"Weng'an, Guizhou",China
49,"Xixihe Railway Bridge
成贵高铁西溪河大桥","840 feet
256 meters","787 feet
240 meters",2019,"Dafang, Guizhou",China
50,"Qingjiang Bridge Shuibuya
水布垭清江大桥","(837) feet
255 meters","1,378 feet
420 meters",2018,"Shuibuyazhen, Hubei",China
